Date,Temp (°C),Humidity (%),Season,Solar Energy (kWh),Precipitation (mm),Population,Total Usage (kWh),Urban Usage (kWh),Rural Usage (kWh),Urban Household (kWh),Urban Industrial (kWh),Urban Commercial (kWh),Urban Others (kWh),Rural Household (kWh),Rural Industrial (kWh),Rural Commercial (kWh),Rural Others (kWh),Period,Adjusted Total Usage (kWh)
2018-02-14,21.8,63.9,Winter,19.7,0.0,3130000.0,3165.0,2215.5,949.5,726.17,824.68,553.88,110.78,476.0,189.9,189.9,93.7,,
2018-02-15,23.5,59.4,Winter,20.2,0.0,3130000.0,3360.0,2352.0,1008.0,836.29,810.11,588.0,117.6,547.62,201.6,201.6,57.18,,
2018-02-16,23.3,60.3,Winter,17.8,0.0,3130000.0,3220.0,2254.0,966.0,736.13,841.67,563.5,112.7,503.03,193.2,193.2,76.57,,
2018-02-17,23.5,55.1,Winter,22.5,0.0,3130000.0,3475.0,2432.5,1042.5,858.13,844.62,608.12,121.62,526.27,208.5,208.5,99.23,,
2018-02-18,23.5,51.5,Winter,22.5,0.0,3130000.0,3475.0,2432.5,1042.5,776.12,926.63,608.12,121.62,549.6,208.5,208.5,75.9,,
2018-02-19,23.9,47.0,Winter,22.2,0.0,3130000.0,3500.0,2450.0,1050.0,818.21,896.79,612.5,122.5,553.59,210.0,210.0,76.41,,
2018-02-20,24.2,45.7,Winter,22.1,0.0,3130000.0,3525.0,2467.5,1057.5,854.82,872.43,616.88,123.38,538.59,211.5,211.5,95.91,,
2018-02-21,24.0,49.9,Winter,19.6,0.0,3130000.0,3380.0,2366.0,1014.0,868.01,788.19,591.5,118.3,511.73,202.8,202.8,96.67,,
2018-02-22,24.3,53.1,Winter,19.1,0.0,3130000.0,3385.0,2369.5,1015.5,837.95,820.7,592.38,118.48,525.21,203.1,203.1,84.09,,
2018-02-23,24.9,55.6,Winter,19.0,0.0,3130000.0,3440.0,2408.0,1032.0,915.44,770.16,602.0,120.4,543.87,206.4,206.4,75.33,,
2018-02-24,25.1,54.7,Winter,20.5,0.0,3130000.0,3535.0,2474.5,1060.5,780.38,951.77,618.62,123.72,547.11,212.1,212.1,89.19,,
2018-02-25,24.4,51.4,Winter,23.5,0.0,3130000.0,3615.0,2530.5,1084.5,838.2,933.15,632.62,126.52,550.12,216.9,216.9,100.58,,
2018-02-26,24.4,44.8,Winter,23.7,0.0,3130000.0,3625.0,2537.5,1087.5,923.78,852.47,634.38,126.88,566.63,217.5,217.5,85.87,,
2018-02-27,24.7,43.4,Winter,23.6,0.0,3130000.0,3650.0,2555.0,1095.0,803.47,985.03,638.75,127.75,596.71,219.0,219.0,60.29,,
2018-02-28,25.1,42.7,Winter,23.8,0.0,3130000.0,3700.0,2590.0,1110.0,915.28,897.72,647.5,129.5,606.56,222.0,222.0,59.44,,
2018-03-01,25.9,43.0,Summer,23.8,0.0,3130000.0,3780.0,2646.0,1134.0,820.46,1031.74,661.5,132.3,597.02,226.8,226.8,83.38,,
2018-03-02,26.1,47.2,Summer,22.9,0.0,3130000.0,3755.0,2628.5,1126.5,1048.07,791.88,657.12,131.43,583.29,225.3,225.3,92.61,,
2018-03-03,26.1,53.5,Summer,18.8,0.0,3130000.0,3550.0,2485.0,1065.0,810.61,928.89,621.25,124.25,575.56,213.0,213.0,63.44,,
2018-03-04,25.9,63.3,Summer,19.9,0.0,3130000.0,3585.0,2509.5,1075.5,762.43,994.22,627.38,125.48,577.12,215.1,215.1,68.18,,
2018-03-05,25.8,58.3,Summer,20.4,0.0,3130000.0,3600.0,2520.0,1080.0,977.32,786.68,630.0,126.0,540.25,216.0,216.0,107.75,,
2018-03-06,26.0,49.6,Summer,20.6,0.0,3130000.0,3630.0,2541.0,1089.0,771.47,1007.23,635.25,127.05,574.58,217.8,217.8,78.82,,
2018-03-07,26.4,52.9,Summer,19.8,0.0,3130000.0,3630.0,2541.0,1089.0,767.64,1011.06,635.25,127.05,590.82,217.8,217.8,62.58,,
2018-03-08,25.9,56.4,Summer,22.0,0.0,3130000.0,3690.0,2583.0,1107.0,842.21,965.89,645.75,129.15,608.78,221.4,221.4,55.42,,
2018-03-09,26.2,52.2,Summer,21.7,0.0,3130000.0,3705.0,2593.5,1111.5,970.84,844.61,648.38,129.68,564.74,222.3,222.3,102.16,,
2018-03-10,26.5,50.2,Summer,21.9,0.0,3130000.0,3745.0,2621.5,1123.5,1009.46,825.59,655.38,131.08,564.79,224.7,224.7,109.31,,
2018-03-11,27.5,44.6,Summer,21.6,0.0,3130000.0,3830.0,2681.0,1149.0,1045.03,831.67,670.25,134.05,595.47,229.8,229.8,93.93,,
2018-03-12,26.5,41.2,Summer,20.9,0.0,3130000.0,3695.0,2586.5,1108.5,863.92,946.63,646.62,129.33,608.99,221.7,221.7,56.11,,
2018-03-13,26.9,42.5,Summer,20.0,0.0,3130000.0,3690.0,2583.0,1107.0,978.26,829.84,645.75,129.15,588.95,221.4,221.4,75.25,,
2018-03-14,27.0,37.2,Summer,18.9,0.0,3130000.0,3645.0,2551.5,1093.5,909.86,876.19,637.88,127.58,577.48,218.7,218.7,78.62,,
2018-03-15,25.3,36.5,Summer,5.6,0.0,3130000.0,2810.0,1967.0,843.0,781.96,594.94,491.75,98.35,450.15,168.6,168.6,55.65,,
2018-03-16,24.3,48.6,Summer,15.9,0.1,3130000.0,3225.0,2257.5,967.5,822.01,758.24,564.38,112.88,483.89,193.5,193.5,96.61,,
2018-03-17,25.0,54.7,Summer,17.8,0.0,3130000.0,3390.0,2373.0,1017.0,903.08,758.02,593.25,118.65,540.05,203.4,203.4,70.15,,
2018-03-18,25.4,60.1,Summer,18.4,5.0,3130000.0,3460.0,2422.0,1038.0,934.76,760.64,605.5,121.1,521.75,207.6,207.6,101.05,,
2018-03-19,26.2,59.5,Summer,22.5,0.1,3130000.0,3745.0,2621.5,1123.5,828.81,1006.24,655.38,131.08,596.23,224.7,224.7,77.87,,
2018-03-20,25.9,50.8,Summer,25.5,0.0,3130000.0,3865.0,2705.5,1159.5,911.24,982.61,676.38,135.28,610.52,231.9,231.9,85.18,,
2018-03-21,25.2,51.0,Summer,25.9,0.0,3130000.0,3815.0,2670.5,1144.5,845.0,1024.35,667.62,133.52,611.62,228.9,228.9,75.08,,
2018-03-22,24.3,45.9,Summer,26.7,0.0,3130000.0,3765.0,2635.5,1129.5,873.63,971.22,658.88,131.78,581.39,225.9,225.9,96.31,,
2018-03-23,24.1,50.0,Summer,26.6,0.0,3130000.0,3740.0,2618.0,1122.0,984.58,848.02,654.5,130.9,587.63,224.4,224.4,85.57,,
2018-03-24,25.6,54.0,Summer,26.3,0.0,3130000.0,3875.0,2712.5,1162.5,867.39,1031.36,678.12,135.62,603.79,232.5,232.5,93.71,,
2018-03-25,26.7,44.5,Summer,26.1,0.0,3130000.0,3975.0,2782.5,1192.5,897.09,1050.66,695.62,139.12,647.31,238.5,238.5,68.19,,
2018-03-26,27.7,41.3,Summer,25.7,0.0,3130000.0,4055.0,2838.5,1216.5,972.2,1014.75,709.62,141.93,658.37,243.3,243.3,71.53,,
2018-03-27,28.3,48.9,Summer,25.9,0.0,3130000.0,4125.0,2887.5,1237.5,1006.49,1014.76,721.88,144.38,656.1,247.5,247.5,86.4,,
2018-03-28,27.1,54.7,Summer,25.9,0.0,3130000.0,4005.0,2803.5,1201.5,1062.16,900.29,700.88,140.18,625.69,240.3,240.3,95.21,,
2018-03-29,27.1,52.2,Summer,25.6,0.0,3130000.0,3990.0,2793.0,1197.0,1011.58,943.52,698.25,139.65,641.99,239.4,239.4,76.21,,
2018-03-30,27.0,51.5,Summer,26.5,0.0,3130000.0,4025.0,2817.5,1207.5,1074.97,897.28,704.38,140.88,618.26,241.5,241.5,106.24,,
2018-03-31,27.1,53.6,Summer,26.2,0.0,3130000.0,4020.0,2814.0,1206.0,888.74,1081.06,703.5,140.7,619.04,241.2,241.2,104.56,,
2018-04-01,27.0,51.4,Summer,26.8,0.0,3130000.0,4040.0,2828.0,1212.0,883.82,1095.78,707.0,141.4,660.7,242.4,242.4,66.5,,
2018-04-02,27.9,49.2,Summer,24.1,0.0,3130000.0,3995.0,2796.5,1198.5,1000.11,957.44,699.12,139.83,625.64,239.7,239.7,93.46,,
2018-04-03,27.8,48.7,Summer,25.4,0.0,3130000.0,4050.0,2835.0,1215.0,930.84,1053.66,708.75,141.75,629.47,243.0,243.0,99.53,,
2018-04-04,28.3,53.2,Summer,24.8,0.0,3130000.0,4070.0,2849.0,1221.0,999.8,994.5,712.25,142.45,656.92,244.2,244.2,75.68,,
2018-04-05,28.5,51.3,Summer,24.5,0.0,3130000.0,4075.0,2852.5,1222.5,858.21,1138.54,713.12,142.62,619.54,244.5,244.5,113.96,,
2018-04-06,27.3,51.2,Summer,18.3,0.1,3130000.0,3645.0,2551.5,1093.5,801.06,984.99,637.88,127.58,567.87,218.7,218.7,88.23,,
2018-04-07,28.1,50.9,Summer,24.0,2.6,3130000.0,4010.0,2807.0,1203.0,901.24,1063.66,701.75,140.35,626.49,240.6,240.6,95.31,,
2018-04-08,27.2,49.4,Summer,24.6,1.3,3130000.0,3950.0,2765.0,1185.0,1073.86,861.64,691.25,138.25,614.05,237.0,237.0,96.95,,
2018-04-09,27.3,41.3,Summer,23.7,0.0,3130000.0,3915.0,2740.5,1174.5,972.55,945.8,685.12,137.02,617.97,234.9,234.9,86.73,,
2018-04-10,27.6,41.7,Summer,23.4,0.0,3130000.0,3930.0,2751.0,1179.0,948.77,976.93,687.75,137.55,634.13,235.8,235.8,73.27,,
2018-04-11,27.2,50.5,Summer,23.4,0.0,3130000.0,3890.0,2723.0,1167.0,1047.31,858.79,680.75,136.15,599.69,233.4,233.4,100.51,,
2018-04-12,27.6,53.2,Summer,25.8,0.0,3130000.0,4050.0,2835.0,1215.0,1125.53,858.97,708.75,141.75,662.44,243.0,243.0,66.56,,
2018-04-13,28.1,51.8,Summer,26.4,0.0,3130000.0,4130.0,2891.0,1239.0,1128.22,895.48,722.75,144.55,642.19,247.8,247.8,101.21,,
2018-04-14,28.5,46.7,Summer,26.4,0.0,3130000.0,4170.0,2919.0,1251.0,1162.54,880.76,729.75,145.95,627.95,250.2,250.2,122.65,,
2018-04-15,28.4,55.5,Summer,23.0,0.1,3130000.0,3990.0,2793.0,1197.0,1112.92,842.18,698.25,139.65,622.97,239.4,239.4,95.23,,
2018-04-16,29.2,55.4,Summer,23.8,0.0,3130000.0,4110.0,2877.0,1233.0,920.49,1093.41,719.25,143.85,627.2,246.6,246.6,112.6,,
2018-04-17,29.1,62.3,Summer,21.8,0.8,3130000.0,4000.0,2800.0,1200.0,1109.78,850.22,700.0,140.0,643.98,240.0,240.0,76.02,,
2018-04-18,28.8,62.0,Summer,23.0,2.9,3130000.0,4030.0,2821.0,1209.0,865.9,1108.8,705.25,141.05,662.17,241.8,241.8,63.23,,
2018-04-19,29.9,46.4,Summer,27.0,0.0,3130000.0,4340.0,3038.0,1302.0,1114.26,1012.34,759.5,151.9,666.15,260.4,260.4,115.05,,
2018-04-20,28.4,45.8,Summer,27.0,0.0,3130000.0,4190.0,2933.0,1257.0,1002.65,1050.45,733.25,146.65,677.21,251.4,251.4,76.99,,
2018-04-21,28.8,49.5,Summer,26.9,0.2,3130000.0,4225.0,2957.5,1267.5,961.65,1108.6,739.38,147.88,677.71,253.5,253.5,82.79,,
2018-04-22,28.8,42.4,Summer,27.5,0.0,3130000.0,4255.0,2978.5,1276.5,1027.05,1057.9,744.62,148.93,655.5,255.3,255.3,110.4,,
2018-04-23,28.1,46.0,Summer,27.6,0.0,3130000.0,4190.0,2933.0,1257.0,1078.91,974.19,733.25,146.65,668.29,251.4,251.4,85.91,,
2018-04-24,29.0,47.9,Summer,28.2,0.0,3130000.0,4310.0,3017.0,1293.0,908.93,1202.97,754.25,150.85,692.38,258.6,258.6,83.42,,
2018-04-25,28.6,41.8,Summer,28.4,0.0,3130000.0,4280.0,2996.0,1284.0,1175.29,921.91,749.0,149.8,661.28,256.8,256.8,109.12,,
2018-04-26,28.0,45.7,Summer,28.0,0.0,3130000.0,4200.0,2940.0,1260.0,987.71,1070.29,735.0,147.0,658.31,252.0,252.0,97.69,,
2018-04-27,28.6,51.5,Summer,27.4,0.0,3130000.0,4230.0,2961.0,1269.0,1093.83,978.87,740.25,148.05,668.46,253.8,253.8,92.94,,
2018-04-28,29.4,56.2,Summer,25.5,0.0,3130000.0,4215.0,2950.5,1264.5,1014.29,1051.06,737.62,147.52,665.54,252.9,252.9,93.16,,
2018-04-29,29.0,57.7,Summer,26.5,0.0,3130000.0,4225.0,2957.5,1267.5,923.79,1146.46,739.38,147.88,695.12,253.5,253.5,65.38,,
2018-04-30,28.7,51.2,Summer,27.6,0.0,3130000.0,4250.0,2975.0,1275.0,1183.66,898.84,743.75,148.75,692.06,255.0,255.0,72.94,,
2018-05-01,28.9,54.4,Summer,26.4,0.0,3130000.0,4210.0,2947.0,1263.0,1021.3,1041.6,736.75,147.35,644.78,252.6,252.6,113.02,,
2018-05-02,28.8,51.4,Summer,27.9,0.0,3130000.0,4275.0,2992.5,1282.5,928.39,1166.36,748.12,149.62,643.71,256.5,256.5,125.79,,
2018-05-03,28.8,51.9,Summer,26.9,0.0,3130000.0,4225.0,2957.5,1267.5,1052.66,1017.59,739.38,147.88,661.62,253.5,253.5,98.88,,
2018-05-04,29.1,48.1,Summer,27.7,0.0,3130000.0,4295.0,3006.5,1288.5,1077.49,1027.06,751.62,150.33,656.07,257.7,257.7,117.03,,
2018-05-05,29.3,55.0,Summer,26.9,0.0,3130000.0,4275.0,2992.5,1282.5,1191.51,903.24,748.12,149.62,690.54,256.5,256.5,78.96,,
2018-05-06,29.6,59.3,Summer,24.8,0.2,3130000.0,4200.0,2940.0,1260.0,985.11,1072.89,735.0,147.0,664.37,252.0,252.0,91.63,,
2018-05-07,29.1,57.0,Summer,25.3,0.0,3130000.0,4175.0,2922.5,1252.5,1073.65,972.1,730.62,146.12,640.0,250.5,250.5,111.5,,
2018-05-08,29.1,49.6,Summer,27.0,0.0,3130000.0,4260.0,2982.0,1278.0,1122.16,965.24,745.5,149.1,678.6,255.6,255.6,88.2,,
2018-05-09,30.0,52.5,Summer,27.1,0.0,3130000.0,4355.0,3048.5,1306.5,958.4,1175.55,762.12,152.43,696.29,261.3,261.3,87.61,,
2018-05-10,30.0,57.0,Summer,25.1,0.4,3130000.0,4255.0,2978.5,1276.5,1044.0,1040.95,744.62,148.93,675.72,255.3,255.3,90.18,,
2018-05-11,29.9,60.9,Summer,24.9,0.0,3130000.0,4235.0,2964.5,1270.5,1046.58,1028.57,741.12,148.22,650.8,254.1,254.1,111.5,,
2018-05-12,29.2,57.1,Summer,25.6,0.7,3130000.0,4200.0,2940.0,1260.0,892.32,1165.68,735.0,147.0,640.08,252.0,252.0,115.92,,
2018-05-13,28.9,53.0,Summer,23.7,4.0,3130000.0,4075.0,2852.5,1222.5,863.21,1133.54,713.12,142.62,628.38,244.5,244.5,105.12,,
2018-05-14,28.9,63.2,Summer,24.8,0.0,3130000.0,4130.0,2891.0,1239.0,1068.76,954.94,722.75,144.55,675.89,247.8,247.8,67.51,,
2018-05-15,28.6,62.6,Summer,26.2,0.9,3130000.0,4170.0,2919.0,1251.0,1117.9,925.4,729.75,145.95,661.21,250.2,250.2,89.39,,
2018-05-16,29.4,59.8,Summer,24.5,1.5,3130000.0,4165.0,2915.5,1249.5,1150.1,890.75,728.88,145.78,673.03,249.9,249.9,76.67,,
2018-05-17,30.2,59.9,Summer,24.9,0.0,3130000.0,4265.0,2985.5,1279.5,1090.5,999.35,746.38,149.28,671.54,255.9,255.9,96.16,,
2018-05-18,29.1,66.6,Summer,24.0,0.3,3130000.0,4110.0,2877.0,1233.0,894.62,1119.28,719.25,143.85,668.91,246.6,246.6,70.89,,
2018-05-19,29.3,60.8,Summer,26.7,0.1,3130000.0,4265.0,2985.5,1279.5,1093.61,996.24,746.38,149.28,670.56,255.9,255.9,97.14,,
2018-05-20,28.7,61.0,Summer,26.3,0.0,3130000.0,4185.0,2929.5,1255.5,1085.74,964.91,732.38,146.48,667.05,251.1,251.1,86.25,,
2018-05-21,28.7,63.0,Summer,25.0,0.7,3130000.0,4120.0,2884.0,1236.0,1046.39,972.41,721.0,144.2,661.16,247.2,247.2,80.44,,
2018-05-22,28.7,55.3,Summer,24.7,0.0,3130000.0,4105.0,2873.5,1231.5,927.3,1084.15,718.38,143.68,653.38,246.3,246.3,85.52,,
2018-05-23,29.2,54.4,Summer,25.0,0.0,3130000.0,4170.0,2919.0,1251.0,1004.33,1038.97,729.75,145.95,647.36,250.2,250.2,103.24,,
2018-05-24,28.4,63.6,Summer,24.2,0.0,3130000.0,4050.0,2835.0,1215.0,884.08,1100.42,708.75,141.75,622.68,243.0,243.0,106.32,,
2018-05-25,28.9,63.6,Summer,25.1,0.3,3130000.0,4145.0,2901.5,1243.5,1019.58,1011.47,725.38,145.08,641.78,248.7,248.7,104.32,,
2018-05-26,30.0,63.6,Summer,24.9,0.2,3130000.0,4245.0,2971.5,1273.5,1143.91,936.14,742.88,148.58,671.02,254.7,254.7,93.08,,
2018-05-27,30.3,65.4,Summer,23.3,2.3,3130000.0,4195.0,2936.5,1258.5,1053.13,1002.42,734.12,146.83,679.7,251.7,251.7,75.4,,
2018-05-28,29.2,68.9,Summer,22.2,0.8,3130000.0,4030.0,2821.0,1209.0,1039.75,934.95,705.25,141.05,613.25,241.8,241.8,112.15,,
2018-05-29,28.5,68.0,Summer,21.9,0.0,3130000.0,3945.0,2761.5,1183.5,939.7,993.35,690.38,138.08,592.41,236.7,236.7,117.69,,
2018-05-30,28.7,66.6,Summer,24.0,0.0,3130000.0,4070.0,2849.0,1221.0,1018.42,975.88,712.25,142.45,645.41,244.2,244.2,87.19,,
2018-05-31,29.3,66.8,Summer,22.3,0.2,3130000.0,4045.0,2831.5,1213.5,1087.17,894.88,707.88,141.58,648.6,242.7,242.7,79.5,,
2018-06-01,28.0,73.1,Monsoon,22.1,25.0,3130000.0,3905.0,2733.5,1171.5,980.46,932.99,683.38,136.68,610.68,234.3,234.3,92.22,,
2018-06-02,26.9,78.6,Monsoon,17.6,11.0,3130000.0,3570.0,2499.0,1071.0,915.31,833.99,624.75,124.95,554.25,214.2,214.2,88.35,,
2018-06-03,26.6,77.8,Monsoon,13.6,2.4,3130000.0,3340.0,2338.0,1002.0,724.97,911.63,584.5,116.9,507.12,200.4,200.4,94.08,,
2018-06-04,27.1,74.8,Monsoon,17.7,4.4,3130000.0,3595.0,2516.5,1078.5,1006.41,755.14,629.12,125.82,547.57,215.7,215.7,99.53,,
2018-06-05,27.5,73.3,Monsoon,16.7,1.6,3130000.0,3585.0,2509.5,1075.5,824.17,932.48,627.38,125.48,571.35,215.1,215.1,73.95,,
2018-06-06,27.0,78.6,Monsoon,15.4,19.0,3130000.0,3470.0,2429.0,1041.0,869.21,831.09,607.25,121.45,563.55,208.2,208.2,61.05,,
2018-06-07,26.1,85.0,Monsoon,11.8,6.8,3130000.0,3200.0,2240.0,960.0,738.32,829.68,560.0,112.0,498.79,192.0,192.0,77.21,,
2018-06-08,26.1,83.8,Monsoon,13.1,3.0,3130000.0,3265.0,2285.5,979.5,802.52,797.33,571.38,114.28,535.26,195.9,195.9,52.44,,
2018-06-09,25.1,87.3,Monsoon,9.0,5.7,3130000.0,2960.0,2072.0,888.0,721.83,728.57,518.0,103.6,474.49,177.6,177.6,58.31,,
2018-06-10,25.6,84.1,Monsoon,16.6,0.4,3130000.0,3390.0,2373.0,1017.0,861.87,799.23,593.25,118.65,519.1,203.4,203.4,91.1,,
2018-06-11,26.9,82.2,Monsoon,17.5,0.6,3130000.0,3565.0,2495.5,1069.5,856.16,890.69,623.88,124.78,582.43,213.9,213.9,59.27,,
2018-06-12,27.2,75.4,Monsoon,18.9,1.5,3130000.0,3665.0,2565.5,1099.5,791.51,1004.34,641.38,128.28,552.06,219.9,219.9,107.64,,
2018-06-13,27.2,75.0,Monsoon,18.4,1.3,3130000.0,3640.0,2548.0,1092.0,997.54,786.06,637.0,127.4,600.34,218.4,218.4,54.86,,
2018-06-14,27.4,75.0,Monsoon,19.8,0.5,3130000.0,3730.0,2611.0,1119.0,1024.45,803.25,652.75,130.55,600.44,223.8,223.8,70.96,,
