Date,Temp (°C),Humidity (%),Season,Solar Energy (kWh),Precipitation (mm),Population,Total Usage (kWh),Urban Usage (kWh),Rural Usage (kWh)
16-03-2018,24.3,48.6,Summer,15.9,0.1,3130000,3225,2118.378751,1106.621249
17-03-2018,25,54.7,Summer,17.8,0,3130000,3390,2194.048058,1195.951942
18-03-2018,25.4,60.1,Summer,18.4,5,3130000,3460,2125.559259,1334.440741
19-03-2018,26.2,59.5,Summer,22.5,0.1,3130000,3745,2498.04529,1246.95471
20-03-2018,25.9,50.8,Summer,25.5,0,3130000,3865,2540.157734,1324.842266
21-03-2018,25.2,51,Summer,25.9,0,3130000,2953.068232,1774.359734,1178.708497
22-03-2018,24.3,45.9,Summer,26.7,0,3130000,2953.756033,1855.046314,1098.709719
23-03-2018,24.1,50,Summer,26.6,0,3130000,2954.443835,1948.61192,1005.831915
24-03-2018,25.6,54,Summer,26.3,0,3130000,2955.131637,2013.165606,941.9660308
25-03-2018,26.7,44.5,Summer,26.1,0,3130000,2955.819438,2055.960917,899.8585212
26-03-2018,27.7,41.3,Summer,25.7,0,3130000,2956.50724,1795.763218,1160.744022
27-03-2018,28.3,48.9,Summer,25.9,0,3130000,2957.195042,1837.354317,1119.840724
28-03-2018,27.1,54.7,Summer,25.9,0,3130000,2957.882843,1824.940852,1132.941991
29-03-2018,27.1,52.2,Summer,25.6,0,3130000,2958.570645,1929.449361,1029.121284
30-03-2018,27,51.5,Summer,26.5,0,3130000,2959.258447,1946.737348,1012.521099
31-03-2018,27.1,53.6,Summer,26.2,0,3130000,2959.946248,1822.566522,1137.379726
01-04-2018,27,51.4,Summer,26.8,0,3130000,4040,2570.592109,1469.407891
02-04-2018,27.9,49.2,Summer,24.1,0,3130000,3995,2624.913705,1370.086295
03-04-2018,27.8,48.7,Summer,25.4,0,3130000,4050,2489.363712,1560.636288
04-04-2018,28.3,53.2,Summer,24.8,0,3130000,4070,2785.638963,1284.361037
05-04-2018,28.5,51.3,Summer,24.5,0,3130000,4075,2691.443023,1383.556977
06-04-2018,27.3,51.2,Summer,18.3,0.1,3130000,3645,2338.74833,1306.25167
07-04-2018,28.1,50.9,Summer,24,2.6,3130000,4010,2450.594233,1559.405767
08-04-2018,27.2,49.4,Summer,24.6,1.3,3130000,3950,2753.62136,1196.37864
09-04-2018,27.3,41.3,Summer,23.7,0,3130000,3915,2634.805882,1280.194118
10-04-2018,27.6,41.7,Summer,23.4,0,3130000,3930,2567.21326,1362.78674
11-04-2018,27.2,50.5,Summer,23.4,0,3130000,3890,2524.404968,1365.595032
12-04-2018,27.6,53.2,Summer,25.8,0,3130000,4050,2529.741163,1520.258837
13-04-2018,28.1,51.8,Summer,26.4,0,3130000,4130,2888.799761,1241.200239
14-04-2018,28.5,46.7,Summer,26.4,0,3130000,4170,2632.878821,1537.121179
15-04-2018,28.4,55.5,Summer,23,0.1,3130000,3990,2787.271334,1202.728666
16-04-2018,29.2,55.4,Summer,23.8,0,3130000,4110,2857.8497,1252.1503
17-04-2018,29.1,62.3,Summer,21.8,0.8,3130000,4000,2548.325882,1451.674118
18-04-2018,28.8,62,Summer,23,2.9,3130000,4030,2739.022019,1290.977981
19-04-2018,29.9,46.4,Summer,27,0,3130000,4340,2988.048774,1351.951226
20-04-2018,28.4,45.8,Summer,27,0,3130000,4190,2735.729972,1454.270028
21-04-2018,28.8,49.5,Summer,26.9,0.2,3130000,2960.63405,1878.685466,1081.948584
22-04-2018,28.8,42.4,Summer,27.5,0,3130000,2961.321852,1922.809566,1038.512286
23-04-2018,28.1,46,Summer,27.6,0,3130000,2962.009653,1993.724532,968.2851209
24-04-2018,29,47.9,Summer,28.2,0,3130000,2962.697455,1924.024529,1038.672925
25-04-2018,28.6,41.8,Summer,28.4,0,3130000,2963.385257,1848.064794,1115.320463
26-04-2018,28,45.7,Summer,28,0,3130000,2964.073058,1850.484293,1113.588765
27-04-2018,28.6,51.5,Summer,27.4,0,3130000,2964.76086,1975.945803,988.8150566
28-04-2018,29.4,56.2,Summer,25.5,0,3130000,2965.448662,1936.497938,1028.950723
29-04-2018,29,57.7,Summer,26.5,0,3130000,2966.136463,1831.406223,1134.73024
30-04-2018,28.7,51.2,Summer,27.6,0,3130000,2966.824265,1946.156629,1020.667636
01-05-2018,28.9,54.4,Summer,26.4,0,3130000,4210,2780.101145,1429.898855
02-05-2018,28.8,51.4,Summer,27.9,0,3130000,4275,2798.67866,1476.32134
03-05-2018,28.8,51.9,Summer,26.9,0,3130000,4225,2841.30032,1383.69968
04-05-2018,29.1,48.1,Summer,27.7,0,3130000,4295,2965.769342,1329.230658
05-05-2018,29.3,55,Summer,26.9,0,3130000,4275,2935.681113,1339.318887
06-05-2018,29.6,59.3,Summer,24.8,0.2,3130000,4200,2587.658298,1612.341702
07-05-2018,29.1,57,Summer,25.3,0,3130000,4175,2862.321641,1312.678359
08-05-2018,29.1,49.6,Summer,27,0,3130000,4260,2722.086275,1537.913725
09-05-2018,30,52.5,Summer,27.1,0,3130000,4355,2958.67869,1396.32131
10-05-2018,30,57,Summer,25.1,0.4,3130000,4255,2626.550007,1628.449993
11-05-2018,29.9,60.9,Summer,24.9,0,3130000,4235,2873.507774,1361.492226
12-05-2018,29.2,57.1,Summer,25.6,0.7,3130000,4200,2550.943377,1649.056623
13-05-2018,28.9,53,Summer,23.7,4,3130000,4075,2845.932662,1229.067338
14-05-2018,28.9,63.2,Summer,24.8,0,3130000,4130,2811.114814,1318.885186
15-05-2018,28.6,62.6,Summer,26.2,0.9,3130000,4170,2879.301914,1290.698086
16-05-2018,29.4,59.8,Summer,24.5,1.5,3130000,4165,2812.715996,1352.284004
17-05-2018,30.2,59.9,Summer,24.9,0,3130000,4265,2919.265463,1345.734537
18-05-2018,29.1,66.6,Summer,24,0.3,3130000,4110,2483.493468,1626.506532
19-05-2018,29.3,60.8,Summer,26.7,0.1,3130000,4265,2559.907239,1705.092761
20-05-2018,28.7,61,Summer,26.3,0,3130000,4185,2696.280153,1488.719847
21-05-2018,28.7,63,Summer,25,0.7,3130000,2967.512067,1892.924826,1074.58724
22-05-2018,28.7,55.3,Summer,24.7,0,3130000,2968.199868,1869.748423,1098.451445
23-05-2018,29.2,54.4,Summer,25,0,3130000,2968.88767,1798.605731,1170.281939
24-05-2018,28.4,63.6,Summer,24.2,0,3130000,2969.575472,2016.677638,952.8978341
25-05-2018,28.9,63.6,Summer,25.1,0.3,3130000,2970.263273,1867.609337,1102.653937
26-05-2018,30,63.6,Summer,24.9,0.2,3130000,2970.951075,2007.189706,963.7613686
27-05-2018,30.3,65.4,Summer,23.3,2.3,3130000,2971.638877,1873.593419,1098.045458
28-05-2018,29.2,68.9,Summer,22.2,0.8,3130000,2972.326678,1997.163547,975.1631309
29-05-2018,28.5,68,Summer,21.9,0,3130000,2973.01448,1884.4018,1088.61268
30-05-2018,28.7,66.6,Summer,24,0,3130000,2973.702282,2047.262966,926.4393158
31-05-2018,29.3,66.8,Summer,22.3,0.2,3130000,2974.390083,1889.300194,1085.089889
01-06-2018,28,73.1,Monsoon,22.1,25,3130000,3905,2596.200196,1308.799804
02-06-2018,26.9,78.6,Monsoon,17.6,11,3130000,3570,2352.504154,1217.495846
03-06-2018,26.6,77.8,Monsoon,13.6,2.4,3130000,3340,2200.419599,1139.580401
04-06-2018,27.1,74.8,Monsoon,17.7,4.4,3130000,3595,2289.228457,1305.771543
05-06-2018,27.5,73.3,Monsoon,16.7,1.6,3130000,3585,2283.427303,1301.572697
06-06-2018,27,78.6,Monsoon,15.4,19,3130000,3470,2177.58726,1292.41274
07-06-2018,26.1,85,Monsoon,11.8,6.8,3130000,3200,2006.110164,1193.889836
08-06-2018,26.1,83.8,Monsoon,13.1,3,3130000,3265,1988.35599,1276.64401
09-06-2018,25.1,87.3,Monsoon,9,5.7,3130000,2960,2037.190524,922.8094755
10-06-2018,25.6,84.1,Monsoon,16.6,0.4,3130000,3390,2104.018587,1285.981413
11-06-2018,26.9,82.2,Monsoon,17.5,0.6,3130000,3565,2415.592933,1149.407067
12-06-2018,27.2,75.4,Monsoon,18.9,1.5,3130000,3665,2243.369584,1421.630416
13-06-2018,27.2,75,Monsoon,18.4,1.3,3130000,3640,2200.935398,1439.064602
14-06-2018,27.4,75,Monsoon,19.8,0.5,3130000,3730,2436.547357,1293.452643
15-06-2018,26.9,74.2,Monsoon,16.6,1.1,3130000,3520,2435.504062,1084.495938
16-06-2018,25.6,76.2,Monsoon,16.1,0.5,3130000,3365,2235.311247,1129.688753
17-06-2018,24,84.6,Monsoon,11.5,5,3130000,2975,1881.13767,1093.86233
18-06-2018,24.1,86.1,Monsoon,7.1,13.7,3130000,2765,1693.466823,1071.533177
19-06-2018,25.5,81.2,Monsoon,14.4,1.7,3130000,3270,2136.199164,1133.800836
20-06-2018,26.7,78.6,Monsoon,19.1,0.3,3130000,3625,2329.563162,1295.436838
21-06-2018,25.1,86.2,Monsoon,11.9,65,3130000,2975.077885,1915.203897,1059.873988
22-06-2018,24.8,87.3,Monsoon,8.1,0.1,3130000,2975.765687,1983.250585,992.5151016
23-06-2018,23.8,88.4,Monsoon,5.6,0.5,3130000,2976.453488,1958.153552,1018.299936
24-06-2018,23.6,88.4,Monsoon,7.8,7.5,3130000,2977.14129,1999.635075,977.5062145
25-06-2018,23.2,91.4,Monsoon,7.9,1.1,3130000,2977.829092,2067.900944,909.9281478
26-06-2018,24.2,88.3,Monsoon,10.7,9.1,3130000,2978.516893,1877.318814,1101.198079
27-06-2018,25.3,82.5,Monsoon,16.4,2.4,3130000,2979.204695,2040.85276,938.3519346
28-06-2018,24.6,85.4,Monsoon,11.6,0.3,3130000,2979.892497,1923.215929,1056.676568
29-06-2018,24.8,83.8,Monsoon,14.9,1.1,3130000,2980.580298,1952.350343,1028.229956
30-06-2018,24.8,80.9,Monsoon,16.3,1.8,3130000,2981.2681,1918.96136,1062.30674
01-07-2018,25.4,78.2,Monsoon,15.7,2,3130000,3325,2211.552268,1113.447732
02-07-2018,24.2,85.5,Monsoon,10.6,0.4,3130000,2950,1928.357891,1021.642109
03-07-2018,23.7,88.8,Monsoon,5.6,0.2,3130000,2650,1811.457632,838.5423679
04-07-2018,23.7,89.2,Monsoon,10.1,6,3130000,2875,1799.1109,1075.8891
05-07-2018,23.6,91.9,Monsoon,8.6,29,3130000,2790,1864.434106,925.5658939
06-07-2018,24.5,87.2,Monsoon,11.6,0.2,3130000,3030,1857.9213,1172.0787
07-07-2018,23.7,91.7,Monsoon,4.2,3,3130000,2580,1619.013388,960.9866118
08-07-2018,23.2,90.7,Monsoon,6.4,5,3130000,2640,1847.570812,792.4291881
09-07-2018,23.3,92,Monsoon,4.1,3,3130000,2535,1619.344778,915.6552216
10-07-2018,23.2,91.9,Monsoon,4.4,3,3130000,2540,1635.898706,904.1012936
11-07-2018,23.7,90.1,Monsoon,7.8,0.2,3130000,2760,1903.428224,856.5717762
12-07-2018,23.2,91.8,Monsoon,6.8,3,3130000,2660,1796.850671,863.1493289
13-07-2018,23.4,90.6,Monsoon,7.2,0.2,3130000,2700,1884.585919,815.4140808
14-07-2018,23.8,90.3,Monsoon,9.5,3,3130000,2855,1925.627694,929.3723062
15-07-2018,23.3,93.4,Monsoon,7,9,3130000,2680,1789.297536,890.7024644
16-07-2018,22.6,95.2,Monsoon,4.5,64,3130000,2485,1552.432384,932.5676163
17-07-2018,23.2,92.8,Monsoon,6.7,9,3130000,2655,1841.557297,813.4427027
18-07-2018,23.4,90.1,Monsoon,13.8,3.3,3130000,3030,2109.123068,920.8769324
19-07-2018,23.6,89.3,Monsoon,14.4,0.2,3130000,3080,2100.418817,979.5811831
20-07-2018,23.3,90.8,Monsoon,11,0.1,3130000,2880,1946.8233,933.1767002
21-07-2018,23.2,91.1,Monsoon,10.3,5.2,3130000,2981.955902,1810.672457,1171.283445
22-07-2018,23.1,90.9,Monsoon,10.4,2.7,3130000,2982.643703,1796.252937,1186.390766
23-07-2018,23.3,89.9,Monsoon,10.6,3.4,3130000,2983.331505,1955.864903,1027.466602
24-07-2018,23.3,90.5,Monsoon,4.7,0.6,3130000,2984.019307,1902.034819,1081.984488
25-07-2018,23.6,86.6,Monsoon,15.7,0.4,3130000,2984.707108,1880.638201,1104.068907
26-07-2018,23.4,88,Monsoon,6.6,0.1,3130000,2985.39491,2068.757192,916.6377183
27-07-2018,23.3,88.2,Monsoon,9.5,1.9,3130000,2986.082712,1863.962007,1122.120705
28-07-2018,24.3,84.7,Monsoon,15.3,2.5,3130000,2986.770513,2038.40766,948.3628528
29-07-2018,24.7,81.2,Monsoon,15.9,1.8,3130000,2987.458315,1850.209078,1137.249236
30-07-2018,24.3,82.8,Monsoon,16.6,0.2,3130000,2988.146117,1996.11855,992.0275666
31-07-2018,24.2,83.2,Monsoon,16.3,0.2,3130000,2988.833918,1915.410478,1073.42344
01-08-2018,24.1,85.1,Monsoon,14.5,0.3,3130000,3135,1943.456458,1191.543542
02-08-2018,24,87.1,Monsoon,14.2,3,3130000,3110,1971.577144,1138.422856
03-08-2018,24.1,86,Monsoon,12.8,0.1,3130000,3050,1891.456984,1158.543016
04-08-2018,23.4,88.7,Monsoon,10.9,4,3130000,2885,1868.073223,1016.926777
05-08-2018,23.8,84.1,Monsoon,16.7,0.2,3130000,3215,1959.629023,1255.370977
06-08-2018,23.4,85.8,Monsoon,15.6,0.3,3130000,3120,1905.646895,1214.353105
07-08-2018,23.3,86.3,Monsoon,13.2,0.1,3130000,2990,1910.737836,1079.262164
08-08-2018,23.4,88.2,Monsoon,6.4,0.4,3130000,2660,1616.385358,1043.614642
09-08-2018,23.6,87.8,Monsoon,8.9,0.3,3130000,2805,1778.635806,1026.364194
10-08-2018,23.9,86.8,Monsoon,14,0.1,3130000,3090,2132.446988,957.5530119
11-08-2018,23.4,90.4,Monsoon,10,0.2,3130000,2840,1763.460541,1076.539459
12-08-2018,22.7,90.7,Monsoon,12.9,3.1,3130000,2915,1967.612311,947.3876888
13-08-2018,22.6,93.5,Monsoon,5.2,4.7,3130000,2520,1567.954667,952.0453335
14-08-2018,23.4,91.6,Monsoon,12.1,3.1,3130000,2945,1970.570965,974.4290345
15-08-2018,23.2,90.7,Monsoon,10.2,2.5,3130000,2830,1782.378461,1047.621539
16-08-2018,22.5,93.9,Monsoon,3.1,1.1,3130000,2405,1609.665627,795.3343735
17-08-2018,22.8,92.5,Monsoon,5.5,9,3130000,2555,1781.221827,773.7781731
18-08-2018,22.9,91.6,Monsoon,9.3,0.1,3130000,2755,1657.602251,1097.397749
19-08-2018,23.2,89.4,Monsoon,12,4,3130000,2920,1983.433651,936.5663493
20-08-2018,22.7,91.2,Monsoon,9.8,3.6,3130000,2760,1805.993027,954.0069727
21-08-2018,21.9,95.6,Monsoon,3.5,14.4,3130000,2989.52172,2024.020721,965.5009988
22-08-2018,22.5,92.7,Monsoon,6.8,3,3130000,2990.209522,1914.746315,1075.463207
23-08-2018,23.1,89.5,Monsoon,14.2,0.1,3130000,2990.897323,1935.80386,1055.093464
24-08-2018,23,89.9,Monsoon,14.4,0.3,3130000,2991.585125,1798.09861,1193.486515
25-08-2018,22.8,90.7,Monsoon,13,7.7,3130000,2992.272927,1880.923441,1111.349485
26-08-2018,22.6,90.3,Monsoon,10.7,6,3130000,2992.960728,1970.973832,1021.986896
27-08-2018,22.5,91,Monsoon,5.1,3.2,3130000,2993.64853,2038.284914,955.3636156
28-08-2018,22.6,91.1,Monsoon,6.7,3,3130000,2994.336332,1999.825117,994.5112143
29-08-2018,23.5,87.2,Monsoon,12.8,0.2,3130000,2995.024133,2004.436798,990.5873352
30-08-2018,23.6,85.5,Monsoon,15.9,2.6,3130000,2995.711935,1889.639114,1106.072821
31-08-2018,23.6,84.5,Monsoon,15.2,2.3,3130000,2996.399737,1921.364721,1075.035016
01-09-2018,23.5,85.9,Monsoon,13.9,1.5,3130000,3045,2068.254655,976.7453449
02-09-2018,22.9,89.6,Monsoon,13.7,3,3130000,2975,1846.8619,1128.1381
03-09-2018,23.1,87.9,Monsoon,14.7,3.1,3130000,3045,2021.107194,1023.892806
04-09-2018,22.9,86.3,Monsoon,16.3,1.6,3130000,3105,1950.5702,1154.4298
05-09-2018,23.2,82.8,Monsoon,17.6,0.6,3130000,3200,2060.318583,1139.681417
06-09-2018,23.5,80.8,Monsoon,17.1,1.8,3130000,3205,2193.115662,1011.884338
07-09-2018,22.7,84.6,Monsoon,15.9,0.4,3130000,3065,1930.708434,1134.291566
08-09-2018,22.9,80.5,Monsoon,17.5,0.7,3130000,3165,2104.829146,1060.170854
09-09-2018,23.2,79.2,Monsoon,17.9,0.2,3130000,3215,1964.216221,1250.783779
10-09-2018,23.7,78.6,Monsoon,18.3,0.3,3130000,3285,2264.03213,1020.96787
11-09-2018,24.1,79,Monsoon,19.9,0.3,3130000,3405,2157.181665,1247.818335
12-09-2018,23.6,78.5,Monsoon,19.7,0,3130000,3345,2007.722305,1337.277695
13-09-2018,23.3,78.7,Monsoon,19.1,0.1,3130000,3285,2016.36685,1268.63315
14-09-2018,23.5,80.7,Monsoon,17.9,1.3,3130000,3245,2221.313749,1023.686251
15-09-2018,24.4,81.1,Monsoon,18.3,0.2,3130000,3355,2348.224464,1006.775536
16-09-2018,24.4,81.2,Monsoon,19.6,1,3130000,3420,2371.136853,1048.863147
17-09-2018,24.3,78.3,Monsoon,19.8,0.3,3130000,3420,2184.551329,1235.448671
18-09-2018,23.7,80.5,Monsoon,17.6,0.7,3130000,3250,2042.522643,1207.477357
19-09-2018,23,87.3,Monsoon,13.7,1.8,3130000,2985,1967.822942,1017.177058
20-09-2018,23.6,86.2,Monsoon,14.7,11,3130000,3095,2075.213238,1019.786762
21-09-2018,24.5,85.9,Monsoon,10,1,3130000,2997.087538,2053.594776,943.4927619
22-09-2018,24.4,83.3,Monsoon,12.2,0.3,3130000,2997.77534,1835.606239,1162.169101
23-09-2018,24.6,80.6,Monsoon,17.6,0.5,3130000,2998.463142,2093.750772,904.7123698
24-09-2018,25,82.5,Monsoon,16.1,1.1,3130000,2999.150943,2090.092503,909.0584405
25-09-2018,25.4,81.3,Monsoon,18.4,2.4,3130000,2999.838745,1979.285092,1020.553652
26-09-2018,25.8,81.5,Monsoon,19.1,2,3130000,3000.526547,2075.422816,925.1037307
27-09-2018,25.9,80.9,Monsoon,16.8,0.8,3130000,3001.214348,1881.908483,1119.305865
28-09-2018,26,76.7,Monsoon,16.7,4.9,3130000,3001.90215,2037.897216,964.0049337
29-09-2018,25.2,80,Monsoon,18.7,1,3130000,3002.589952,2026.390848,976.1991034
30-09-2018,25.2,80.8,Monsoon,17.5,1,3130000,3003.277753,2085.546874,917.7308791
01-10-2018,25,82.5,Post-Monsoon,18.4,16,3130000,3420,2393.954971,1026.045029
02-10-2018,25.5,80.5,Post-Monsoon,19.3,4,3130000,3515,2177.917027,1337.082973
03-10-2018,26.4,78,Post-Monsoon,19,1.4,3130000,3590,2362.565044,1227.434956
04-10-2018,25.4,79.2,Post-Monsoon,17.4,2,3130000,3410,2227.125938,1182.874062
05-10-2018,25.2,76.5,Post-Monsoon,15.8,0.9,3130000,3310,2078.357821,1231.642179
06-10-2018,25.7,70.1,Post-Monsoon,20.6,0,3130000,3600,2448.88246,1151.11754
07-10-2018,26.2,64.3,Post-Monsoon,21.2,0,3130000,3680,2271.115419,1408.884581
08-10-2018,26,66.8,Post-Monsoon,18.9,0.1,3130000,3545,2408.983477,1136.016523
09-10-2018,26.1,75.6,Post-Monsoon,18.7,0,3130000,3545,2408.562243,1136.437757
10-10-2018,25.8,78.5,Post-Monsoon,19,0,3130000,3530,2331.46869,1198.53131
11-10-2018,25.6,76.2,Post-Monsoon,19.1,0,3130000,3515,2437.736333,1077.263667
12-10-2018,26.1,72.8,Post-Monsoon,18.3,0,3130000,3525,2373.88829,1151.11171
13-10-2018,25.8,66.9,Post-Monsoon,21,0,3130000,3630,2535.629002,1094.370998
14-10-2018,25.6,63.8,Post-Monsoon,22,0,3130000,3660,2558.298412,1101.701588
15-10-2018,25.2,63.5,Post-Monsoon,19.8,0,3130000,3510,2408.978861,1101.021139
16-10-2018,25.6,64.4,Post-Monsoon,18.9,0,3130000,3505,2375.027718,1129.972282
17-10-2018,24.6,78.3,Post-Monsoon,15.8,0.4,3130000,3250,2192.163969,1057.836031
18-10-2018,24.4,82.2,Post-Monsoon,12.3,4,3130000,3055,2078.897069,976.1029315
19-10-2018,24.9,76.6,Post-Monsoon,17.8,8,3130000,3380,2145.247494,1234.752506
20-10-2018,25.4,71.3,Post-Monsoon,18.9,0,3130000,3485,2414.60297,1070.39703
21-10-2018,25.9,70.8,Post-Monsoon,19.9,0,3130000,3003.965555,1841.59428,1162.371275
22-10-2018,25.7,68.9,Post-Monsoon,18.8,0,3130000,3004.653357,2000.707821,1003.945535
23-10-2018,25.9,63,Post-Monsoon,19.5,0,3130000,3005.341158,2059.077551,946.263607
24-10-2018,24.8,58.9,Post-Monsoon,19.3,0,3130000,3006.02896,2008.755295,997.2736646
25-10-2018,25,65.7,Post-Monsoon,18.5,0.2,3130000,3006.716762,1804.628025,1202.088737
