Date,Period,Season,Urban Usage (kWh),Rural Usage (kWh),Total Usage (kWh),Adjusted Total Usage (kWh)
2020-04-24,Lockdown,Summer,1400.0566951760943,842.8918214611728,2252.6368366469947,2598.1407720144252
2020-04-25,Lockdown,Summer,1402.501736711668,843.0700627189854,2251.9087216851813,2647.138043220635
2020-04-26,Lockdown,Summer,1400.8064411514738,843.9117834888034,2247.9313122333137,2660.6092995818503
2020-04-27,Lockdown,Summer,1395.1261098119023,850.4926086144384,2252.407604360697,2680.621136705178
2020-04-28,Lockdown,Summer,1406.757114072575,851.1630003163631,2248.9055995770636,2701.921759270449
2020-04-29,Lockdown,Summer,1404.7956651634338,854.9342175537049,2250.2697244483697,2722.716023007129
2020-04-30,Lockdown,Summer,1404.952659735215,841.5898550675847,2259.934760451493,2653.4203858475917
2020-05-01,Lockdown,Summer,1396.4330627260263,857.116051151962,2258.2423052589515,2807.801963615915
2020-05-02,Lockdown,Summer,1408.0289715546805,854.0520315947269,2245.097093815362,2617.04641709394
2020-05-03,Lockdown,Summer,1394.0337446860385,848.9618185346893,2255.787662089396,2740.316281180122
2020-05-04,Lockdown,Summer,1403.9632854690014,844.6391922913394,2255.673982772458,2611.646696395873
2020-05-05,Lockdown,Summer,1411.9882781290498,856.8377032084555,2245.886683556237,2767.816767735294
2020-05-06,Lockdown,Summer,1396.1218183743465,849.1135301938131,2255.7823882187745,2661.352529314259
2020-05-07,Lockdown,Summer,1398.218511351986,850.4999055032779,2259.339659592063,2633.207912826258
2020-05-08,Lockdown,Summer,2332.4026813263818,852.5040598539397,2245.998775968778,2756.1542528468185
2020-05-09,Lockdown,Summer,1398.5256217294188,846.030005471092,2247.0514858949286,2672.157904115578
2020-05-10,Lockdown,Summer,1393.2931828446692,849.1870971048737,2256.7328073342173,2736.400464859191
2020-05-11,Lockdown,Summer,1401.35431487403,854.9045845101019,2252.9469765541285,2670.609479805176
2020-05-12,Lockdown,Summer,1395.7419814313694,854.4224803924814,2254.4128813761977,2683.5381996459914
2020-05-13,Lockdown,Summer,1403.386462153176,854.4475360334761,2253.3034460820027,2801.2012648348755
2020-05-14,Lockdown,Summer,1396.382878828831,844.7841012442977,2253.4934796046405,2771.222333795053
2020-05-15,Lockdown,Summer,1408.7051720250877,849.3630982463543,2244.869139358445,2775.2162441425435
2020-05-16,Lockdown,Summer,1397.0777335383186,848.586030824761,2256.7985885331072,2601.5882801920293
2020-05-17,Lockdown,Summer,1399.3591924189716,852.6798942113735,2257.3714499621387,2764.6859252699983
2020-05-18,Lockdown,Summer,1405.0615860868484,852.2462899482445,2250.4150462796597,2734.4274521388197
2020-05-19,Lockdown,Summer,1394.8221784178302,851.3351366537147,2251.317115250931,2726.758328793925
2020-05-20,Lockdown,Summer,1402.1172996730206,862.8886697770996,2243.8844624872213,2646.5752447316195
2020-05-21,Lockdown,Summer,1407.5332137714122,849.1159695992799,2254.138773780089,2696.0546792965497
2020-05-22,Lockdown,Summer,1392.9670838271936,848.5348845696573,2254.438787208571,2717.7777198257786
2020-05-23,Lockdown,Summer,1401.9556692926612,844.8062516483197,2251.311544915003,2723.3391285643547
2020-05-24,Lockdown,Summer,1402.335413971242,842.9027633703556,2257.2497667993525,2594.6069028019056
2020-05-25,Lockdown,Summer,1404.9521143588865,844.4944131139212,2249.9686138451,2644.7540253731627
2020-05-26,Lockdown,Summer,1394.8512464456094,846.9985903727836,2254.451029629468,2622.743943030717
2020-05-27,Lockdown,Summer,1394.4057169345785,857.1263654721893,2246.4856783065393,2739.582809101263
2020-05-28,Lockdown,Summer,1403.6037078280845,850.7638195218093,2251.4442392456285,2718.8917059107757
2020-05-29,Lockdown,Summer,1402.4894233661657,1415.811995478441,2250.706728710486,2725.3673735953766
2020-05-30,Lockdown,Summer,1402.2814642517294,850.1066334589894,2252.743539610205,2736.7947357430726
2020-05-31,Lockdown,Summer,1402.7297410474848,852.396504965109,2249.7198653558335,2608.47021729976
2020-06-01,Lockdown,Monsoon,1397.471376392107,857.5083607360892,2250.7121370216414,2258.0261953099416
2020-06-02,Lockdown,Monsoon,1402.025768485805,840.5243458186599,2255.4887358572073,2260.9603375107213
2020-06-03,Lockdown,Monsoon,1402.2738623664934,856.5536865779269,2249.086678813809,2245.1560249022223
2020-06-04,Lockdown,Monsoon,1397.2542429098683,837.8968077373249,2243.2651144963065,2251.6542687495544
2020-06-05,Lockdown,Monsoon,1410.2073725557239,850.6430135576096,2260.1284195210274,2244.91296187398
2020-06-06,Lockdown,Monsoon,1403.265164604559,861.471536773722,2258.3152703934525,2247.9295256140144
2020-06-07,Lockdown,Monsoon,1394.9569825139868,853.9252896976577,2244.974186524472,2246.8448650829173
2020-06-08,Lockdown,Monsoon,1404.171768043169,852.3732946766032,2254.845539026226,2257.594920032208
2020-06-09,Lockdown,Monsoon,1396.0365916488636,860.5297298340148,2248.915126147243,2249.448851609491
2020-06-10,Lockdown,Monsoon,1404.8489230187124,847.0066855099943,2252.7529360766553,2256.77739666847
2020-06-11,Lockdown,Monsoon,1406.702977895037,852.6898371123252,2252.9011206450673,2254.4506044479426
2020-06-12,Lockdown,Monsoon,1396.7855884082414,853.3985854873695,2250.2249609984183,2262.915193760524
2020-06-13,Lockdown,Monsoon,1405.7023806462216,847.8939893288648,2247.4726716720684,2243.9942788843014
2020-06-14,Lockdown,Monsoon,1402.9704046346826,848.3474491025202,2247.971794738419,2257.720666198934
2020-06-15,Lockdown,Monsoon,1404.9958007999726,847.7871028338833,2246.810540422594,2257.1237043520036
2020-06-16,Lockdown,Monsoon,1410.36946491327,850.9425748700428,2247.232388958848,2246.524605809865
2020-06-17,Lockdown,Monsoon,1399.6305594199855,853.2234580288566,2251.011608549753,2256.3831666823658
2020-06-18,Lockdown,Monsoon,1397.0818191782123,851.1021513645733,2247.757700054446,2253.017224815131
2020-06-19,Lockdown,Monsoon,1396.4484278518723,854.0593090871492,2254.818260328563,2250.2706187002327
2020-06-20,Lockdown,Monsoon,1396.834448575173,840.6762635701323,4014.791016026553,2247.31582256514
2020-06-21,Lockdown,Monsoon,1400.4964914529294,849.4127441812858,2248.48573379315,2247.790452742754
2020-06-22,Lockdown,Monsoon,1402.6122598740833,845.4009034482468,2252.621522502677,2261.6735604789296
2020-06-23,Lockdown,Monsoon,1402.2934539966502,852.0286125634145,2253.9284255515145,2251.433414094787
2020-06-24,Lockdown,Monsoon,1405.0494162451803,851.9565871433616,2253.7955113545963,2255.3461500076573
2020-06-25,Lockdown,Monsoon,1400.9960094593894,849.9538894252128,2251.8427763395807,2247.5085030916625
2020-06-26,Lockdown,Monsoon,1408.1776703857868,853.0713950526604,2255.1434120917984,2247.5307352688915
2020-06-27,Lockdown,Monsoon,1399.6007158338102,855.5170635913202,2253.8632447634036,2256.86192404625
2020-06-28,Lockdown,Monsoon,1414.5248458329481,850.2253973884684,2245.2636878883636,2244.7041189422425
2020-06-29,Lockdown,Monsoon,1404.0138367388251,845.2475255595015,2255.7372803219464,2249.315431160474
2020-06-30,Lockdown,Monsoon,1396.6102122179186,842.6057121454025,2255.8444541863337,2251.578137055361
2020-07-01,Lockdown,Monsoon,1995.9255375096943,850.6925508766506,2847.975569479107,4645.2674026668865
2020-07-02,Lockdown,Monsoon,2003.6923620762159,851.7213335075677,2851.981689177238,2850.896533574919
2020-07-03,Lockdown,Monsoon,2000.1226860733707,845.6483805524001,2855.152644964055,2853.7150989054794
2020-07-04,Lockdown,Monsoon,2004.7800024704604,854.1128341158152,2850.647430902103,2855.158278779089
2020-07-05,Lockdown,Monsoon,2003.5661881228677,848.1852155708772,2857.0448902388302,2855.353187727297
2020-07-06,Lockdown,Monsoon,2000.8808554367156,842.2158356741443,2863.5623624730965,2846.813980956661
2020-07-07,Lockdown,Monsoon,1996.966031409658,1648.592661972187,2847.7500698368253,2850.2592245103565
2020-07-08,Lockdown,Monsoon,1993.6507638765706,856.2099395960108,2844.809776984231,2857.6888143093847
2020-07-09,Lockdown,Monsoon,1998.9924252396647,840.4120028166845,2853.2340929780244,2856.1882359378696
2020-07-10,Lockdown,Monsoon,2005.5369939716174,847.6889985917315,2855.364812525631,2844.892702742595
2020-07-11,Lockdown,Monsoon,2002.345468720651,847.5020815929286,2850.630668130776,2853.542399501761
2020-07-12,Lockdown,Monsoon,1995.00630610644,858.6914432970875,2858.995303316605,2841.8378737531257
2020-07-13,Lockdown,Monsoon,2002.095904629256,849.9955364497916,2845.028971001384,4813.13512034722
2020-07-14,Lockdown,Monsoon,2003.1565868986443,843.0126090097228,2855.1865931151583,2861.21083508373
2020-07-15,Lockdown,Monsoon,1996.7907128189943,854.8945239112044,2848.6646958962056,2846.954536413655
2020-07-16,Lockdown,Monsoon,2001.9486255297277,844.3181222711696,2860.2488895310366,2847.480384772542
2020-07-17,Lockdown,Monsoon,2001.4960435922299,849.1802975463912,2861.6495767658403,2855.507148907864
2020-07-18,Lockdown,Monsoon,1995.540148510847,846.6531556105956,2847.923717061083,2844.042992423952
2020-07-19,Lockdown,Monsoon,2003.0639368017414,847.7077245086003,2849.0372143204568,2848.6212248505744
2020-07-20,Lockdown,Monsoon,2004.0989226318413,855.2042904478197,2856.110939434899,2854.795205687909
2020-07-21,Lockdown,Monsoon,2006.7052562158763,858.1226508066608,4777.954246395402,2848.634570761553
2020-07-22,Lockdown,Monsoon,2006.5590102601745,844.1441562681031,2851.5789439103387,2850.6261500639453
2020-07-23,Lockdown,Monsoon,1994.4066531602145,853.6483821275391,2851.939942102712,2855.533928551575
2020-07-24,Lockdown,Monsoon,1996.4958748004244,846.81023185155,2842.0606342190117,2853.766730417683
2020-07-25,Lockdown,Monsoon,2003.8201763360432,846.9896404498796,2851.673811269529,2853.0770919814768
2020-07-26,Lockdown,Monsoon,2003.818929754561,852.9531811071136,2848.301361129679,2850.05438860365
2020-07-27,Lockdown,Monsoon,2003.8152384315304,845.3564861714315,2849.270385888001,2853.586305576345
2020-07-28,Lockdown,Monsoon,2020.5036574532737,852.8490130038753,2858.954160017344,2851.117336599501
2020-07-29,Lockdown,Monsoon,2004.0944525534658,854.1465667825487,2845.4534655286034,2854.025028049629
2020-07-30,Lockdown,Monsoon,2006.942828200903,848.3433386915049,2855.8370259337403,2849.2863398744103
2020-07-31,Lockdown,Monsoon,2006.0450088174662,857.1453905100683,2850.3901853483408,2850.8721551281023
2020-08-01,Lockdown,Monsoon,2004.526956256529,844.1438769396925,2850.379199157521,2846.8282110372397
2020-08-02,Lockdown,Monsoon,1999.6986537767984,857.2370309530584,2855.7368594802583,2851.6099619499687
2020-08-03,Lockdown,Monsoon,2005.0298461024663,840.7740628525744,2853.4292564728444,2847.6739956818556
2020-08-04,Lockdown,Monsoon,1997.2958739273122,863.9625707020977,2854.477064986098,2846.0537677491902
2020-08-05,Lockdown,Monsoon,1999.9909069663,848.4389888068908,2856.485923302664,2852.938305739277
2020-08-06,Lockdown,Monsoon,1998.7431822608546,844.6564642180618,2849.9814580840834,2852.7016988792884
2020-08-07,Lockdown,Monsoon,2001.6243706969315,849.3226404574,2848.639816327461,2855.615368674743
2020-08-08,Lockdown,Monsoon,2012.7782928333675,845.2496102868778,2846.261247367211,2849.5313721521243
2020-08-09,Lockdown,Monsoon,1991.8886740370413,852.4248264942727,2847.5879473501054,2853.755264234184
2020-08-10,Lockdown,Monsoon,2004.6213009518726,857.3142866573507,2866.4114721265437,2854.4199878613686
2020-08-11,Lockdown,Monsoon,1993.1114206440518,845.5027188697167,2857.868397903684,2853.8688690391577
2020-08-12,Lockdown,Monsoon,1998.8053406710528,853.36299619587,2844.87562816896,2847.5027315859893
2020-08-13,Lockdown,Monsoon,2006.584752984837,842.7923231555212,2844.9837102162824,2852.342817411356
2020-08-14,Lockdown,Monsoon,2001.4564000954772,855.618773666143,2853.9983303085924,2853.4097014802733
2020-08-15,Lockdown,Monsoon,1995.7362761103534,852.531181834638,2854.31132398689,2851.6108923345396
2020-08-16,Lockdown,Monsoon,1997.5784814537,855.8429166066516,2854.361419176587,2841.184611708145
2020-08-17,Lockdown,Monsoon,2004.5529887446733,849.8502654867945,2850.342221032232,2852.4194481198674
2020-08-18,Lockdown,Monsoon,1997.5231668414142,848.2942170107262,2851.0177286999856,2862.7076551969863
2020-08-19,Lockdown,Monsoon,2002.2672929479097,854.5545871802867,2853.298397620797,2849.858803656215
2020-08-20,Lockdown,Monsoon,2001.392859199519,843.925757392208,2852.0604650314667,2847.9906145107234
2020-08-21,Lockdown,Monsoon,1997.9069982619708,841.7518783413321,2840.5344981362623,2853.497742798557
2020-08-22,Lockdown,Monsoon,2011.9197204466266,850.4551900797999,2850.531001847124,2853.2418910523334
2020-08-23,Lockdown,Monsoon,2004.3595951115901,848.528016965706,2847.4089678286987,2857.6296758270823
2020-08-24,Lockdown,Monsoon,1991.069287066712,853.2471666589076,2852.549057094542,2845.3836592204552
2020-08-25,Lockdown,Monsoon,2002.157271573847,855.94775712157,2866.641295013017,2855.3719012628753
2020-08-26,Lockdown,Monsoon,1997.9010676761582,853.1490703957558,2853.5314083273715,2854.6461103062575
2020-08-27,Lockdown,Monsoon,2005.462166673981,855.5395165591337,2850.1123515691384,2850.9692673152977
2020-08-28,Lockdown,Monsoon,1997.1973963078365,852.0692616666609,2856.2330075098866,2853.317436589609
2020-08-29,Lockdown,Monsoon,2000.5863177926656,852.9369787416056,2854.0374394360465,2856.771287407992
2020-08-30,Lockdown,Monsoon,2003.6849363949025,849.8807139508388,2853.7244724522593,2855.9855769001424
2020-08-31,Lockdown,Monsoon,2005.5287759708506,852.805227305076,2854.7142529660787,2845.9649034396316
2020-09-01,Post-lockdown,Autumn,1995.218517964721,851.3212641428177,2861.990717824148,2855.8087909337773
2020-09-02,Post-lockdown,Autumn,1999.5924938207954,852.1318839826453,2846.1165578233704,2851.4475569748374
2020-09-03,Post-lockdown,Autumn,1998.9052734441952,849.6783798345657,2854.1601603840572,2852.1563704900773
2020-09-04,Post-lockdown,Autumn,1998.0583538371316,854.5746460023564,2847.223094350092,2852.2209849550086
2020-09-05,Post-lockdown,Autumn,2010.1722712014055,1551.2743631670937,2854.660563231711,2851.1317850560085
2020-09-06,Post-lockdown,Autumn,2003.3349085548048,850.4322548954794,2847.2405674425695,2857.7925374855354
2020-09-07,Post-lockdown,Autumn,1994.950580228325,857.0609195010378,2849.6701659319747,2851.338410200754
2020-09-08,Post-lockdown,Autumn,2005.8593097352739,845.7643908853944,5113.4434359266115,2846.180269358084
2020-09-09,Post-lockdown,Autumn,2011.8857809850633,839.7007726912368,2856.6640835967232,2849.8173507201514
2020-09-10,Post-lockdown,Autumn,3881.372657923469,852.3462858314899,2856.391272219712,2852.6924735840525
2020-09-11,Post-lockdown,Autumn,1993.67315017023,849.2232275482326,2845.549413117768,2857.924073921485
2020-09-12,Post-lockdown,Autumn,1998.8088296356689,855.5463112018591,2851.9966705549996,2854.737473424744
2020-09-13,Post-lockdown,Autumn,2007.519555745933,849.8214246005151,2848.1111007262543,2847.406323606265
2020-09-14,Post-lockdown,Autumn,1997.636652671906,847.4483046421834,2845.3524754466234,2864.0709495833944
2020-09-15,Post-lockdown,Autumn,2003.414097140731,850.0989130209089,2850.587914747878,2852.9968765548897
2020-09-16,Post-lockdown,Autumn,2005.0881702671466,855.951342933066,2850.158586057721,2858.077953689995
2020-09-17,Post-lockdown,Autumn,1996.5853476421096,853.3648481359619,2863.8415824317276,2850.949427832114
2020-09-18,Post-lockdown,Autumn,2000.902373219691,838.3104887172599,2853.844799126804,2854.3467962235277
2020-09-19,Post-lockdown,Autumn,1984.9886632996545,851.4068374604338,2844.7849124962286,2855.8703425225917
2020-09-20,Post-lockdown,Autumn,1996.1130617933284,851.672810662007,2848.905129979145,2857.819973558771
2020-09-21,Post-lockdown,Autumn,1999.9521592430342,850.3947501739974,2856.807916477147,2856.9878415268913
