Date,Temp (°C),Humidity (%),Season,Solar Energy (kWh),Total Usage (kWh),Urban Usage (kWh),Rural Usage (kWh)
2022-01-29,18.5,57.3,Winter,21.2,3474.1289892814266,2431.8902924969984,1042.2386967844282
2022-01-30,19.7,56.4,Winter,21.1,3567.7378069127208,2497.416464838904,1070.3213420738164
2022-01-31,21.5,54.1,Winter,21.2,3628.362924556844,2539.854047189791,1088.5088773670534
2022-02-01,21.0,54.8,Winter,21.2,3488.5812588167064,2442.006881171694,1046.574377645012
2022-02-02,21.9,53.4,Winter,21.4,3556.8759218792165,2489.8131453154515,1067.062776563765
2022-02-03,20.7,58.6,Winter,21.8,3389.6831597563696,2372.7782118294585,1016.9049479269112
2022-02-04,19.7,66.7,Winter,19.6,3581.552289031501,2507.0866023220506,1074.4656867094504
2022-02-05,20.0,62.3,Winter,21.4,3545.7201481558195,2482.0041037090737,1063.716044446746
2022-02-06,21.2,60.6,Winter,21.6,3397.6269605108487,2378.338872357594,1019.2880881532548
2022-02-07,21.8,66.0,Winter,21.5,3477.341137953629,2434.1387965675403,1043.2023413860888
2022-02-08,21.5,68.6,Winter,21.5,3567.4346870154573,2497.20428091082,1070.2304061046373
2022-02-09,19.9,66.0,Winter,21.5,3525.274021825701,2467.6918152779904,1057.5822065477105
2022-02-10,20.3,63.0,Winter,21.6,3625.530937448175,2537.8716562137224,1087.6592812344527
2022-02-11,20.8,54.1,Winter,21.8,3493.0555049674763,2445.138853477233,1047.916651490243
2022-02-12,21.4,53.1,Winter,22.0,3613.6916949811935,2529.584186486836,1084.1075084943584
2022-02-13,21.8,58.6,Winter,22.1,3541.301416212389,2478.9109913486723,1062.3904248637168
2022-02-14,21.8,55.4,Winter,22.3,3620.4057417614617,2534.284019233023,1086.1217225284388
2022-02-15,21.3,53.2,Winter,22.5,3378.0804742671185,2364.656331986983,1013.4241422801356
2022-02-16,21.3,57.5,Winter,20.6,3423.0682420131907,2396.147769409233,1026.9204726039573
2022-02-17,22.1,53.5,Winter,22.1,3654.008845105591,2557.8061915739136,1096.2026535316777
2022-02-18,22.4,53.5,Winter,22.1,3599.3972951727624,2519.5781066209333,1079.8191885518288
2022-02-19,23.2,56.6,Winter,21.0,3466.19339746326,2426.3353782242816,1039.8580192389782
2022-02-20,23.2,49.7,Winter,23.4,3369.7212650909987,2358.804885563699,1010.9163795272998
2022-02-21,23.1,50.3,Winter,23.4,3372.7094882163565,2360.8966417514494,1011.8128464649072
2022-02-22,23.8,44.7,Winter,23.4,3491.1792015710766,2443.8254410997533,1047.353760471323
2022-02-23,24.6,53.7,Winter,23.0,3634.868419788616,2544.407893852031,1090.4605259365849
2022-02-24,25.3,55.0,Winter,21.9,3570.411738301203,2499.288216810842,1071.123521490361
2022-02-25,24.5,50.0,Winter,22.0,3575.381062292734,2502.7667436049137,1072.6143186878203
2022-02-26,24.7,44.1,Winter,21.3,3389.5278468841248,2372.669492818887,1016.8583540652376
2022-02-27,24.5,47.1,Winter,22.7,3567.841706022311,2497.4891942156173,1070.3525118066934
2022-02-28,24.2,45.2,Winter,21.5,3484.6872336928727,2439.2810635850105,1045.406170107862
2022-03-01,24.2,44.0,Summer,21.3,4815.269479868262,3370.6886359077835,1444.580843960479
2022-03-02,24.6,46.9,Summer,20.1,4636.693137984339,3245.6851965890373,1391.007941395302
2022-03-03,25.4,46.8,Summer,20.0,4824.419386294812,3377.0935704063686,1447.325815888444
2022-03-04,25.2,45.8,Summer,21.9,4533.281875763398,3173.297313034378,1359.9845627290194
2022-03-05,25.2,44.3,Summer,23.7,4521.20791697273,3164.8455418809112,1356.362375091819
2022-03-06,25.1,49.0,Summer,17.7,4553.096388574695,3187.1674720022866,1365.9289165724088
2022-03-07,25.8,50.9,Summer,18.0,4738.709248816091,3317.0964741712637,1421.6127746448274
2022-03-08,25.9,51.1,Summer,19.3,4710.3605230274725,3297.2523661192304,1413.108156908242
2022-03-09,25.2,55.2,Summer,20.9,4667.767558662681,3267.4372910638767,1400.3302675988043
2022-03-10,24.7,55.5,Summer,17.8,4733.558673360015,3313.4910713520103,1420.0676020080048
2022-03-11,25.3,54.9,Summer,20.0,4698.390851608279,3288.8735961257958,1409.517255482484
2022-03-12,24.8,54.5,Summer,21.9,4708.277243662768,3295.7940705639376,1412.4831730988308
2022-03-13,25.6,48.5,Summer,24.1,4461.265317368344,3122.8857221578405,1338.379595210503
2022-03-14,25.5,41.0,Summer,25.3,4646.11825078866,3252.2827755520616,1393.835475236598
2022-03-15,26.3,38.1,Summer,25.5,4832.340360385844,3382.6382522700906,1449.7021081157534
2022-03-16,27.5,37.9,Summer,25.8,4622.620444978163,3235.834311484713,1386.786133493449
2022-03-17,27.9,37.9,Summer,25.5,4612.325031722901,3228.627522206031,1383.6975095168707
2022-03-18,28.5,44.5,Summer,23.7,4810.196860003199,3367.137802002239,1443.0590580009598
2022-03-19,27.6,54.9,Summer,22.1,4713.543233484964,3299.4802634394746,1414.0629700454897
2022-03-20,27.2,53.3,Summer,21.9,4729.105203629902,3310.373642540931,1418.7315610889707
2022-03-21,27.2,55.8,Summer,20.9,4458.324381880265,3120.827067316185,1337.4973145640795
2022-03-22,27.9,47.2,Summer,19.7,4620.535978643478,3234.3751850504345,1386.1607935930438
2022-03-23,27.7,45.1,Summer,16.9,4671.52536207202,3270.0677534504134,1401.457608621606
2022-03-24,27.8,56.5,Summer,17.1,4635.1036776932815,3244.572574385297,1390.5311033079847
2022-03-25,27.3,67.8,Summer,14.4,4729.9972770755485,3310.998093952884,1418.9991831226648
2022-03-26,28.1,64.6,Summer,21.7,4580.650221812867,3206.455155269007,1374.1950665438603
2022-03-27,28.3,58.3,Summer,20.6,4680.4064233578965,3276.284496350527,1404.121927007369
2022-03-28,28.8,55.3,Summer,20.4,4522.795034017175,3165.956523812022,1356.8385102051525
2022-03-29,29.2,48.5,Summer,26.3,4579.163865187812,3205.414705631468,1373.7491595563438
2022-03-30,29.0,37.9,Summer,26.8,4445.519638770032,3111.863747139022,1333.6558916310096
2022-03-31,27.9,33.9,Summer,27.4,4813.683845769418,3369.5786920385926,1444.1051537308258
2022-04-01,27.7,35.7,Summer,27.5,4643.715744869474,3250.601021408632,1393.1147234608425
2022-04-02,27.6,48.0,Summer,26.8,4689.486928956494,3282.640850269546,1406.8460786869484
2022-04-03,28.5,56.2,Summer,25.1,4515.580710525805,3160.906497368064,1354.674213157742
2022-04-04,28.5,57.1,Summer,21.9,4465.410387110706,3125.7872709774942,1339.623116133212
2022-04-05,29.3,59.7,Summer,21.6,4813.702509720394,3369.5917568042755,1444.1107529161184
2022-04-06,29.1,62.2,Summer,24.4,4554.318566581558,3188.0229966070906,1366.2955699744675
2022-04-07,29.3,58.1,Summer,24.6,4794.456390154052,3356.1194731078363,1438.3369170462158
2022-04-08,29.1,57.5,Summer,22.5,4498.63063189483,3149.041442326381,1349.5891895684492
2022-04-09,28.5,60.2,Summer,23.0,4635.599290769096,3244.9195035383677,1390.679787230729
2022-04-10,28.8,61.6,Summer,23.5,4613.974866806751,3229.7824067647257,1384.1924600420257
2022-04-11,28.7,54.4,Summer,24.5,4439.7359158978725,3107.8151411285107,1331.920774769362
2022-04-12,29.4,47.9,Summer,25.1,4520.528890252724,3164.370223176906,1356.1586670758172
2022-04-13,30.0,46.1,Summer,23.3,4490.227452297531,3143.159216608272,1347.0682356892596
2022-04-14,29.2,54.5,Summer,24.2,4493.76184785334,3145.633293497337,1348.128554356002
2022-04-15,28.4,56.9,Summer,26.8,4708.275789618815,3295.7930527331705,1412.4827368856447
2022-04-16,28.3,51.2,Summer,27.5,4581.277163050634,3206.894014135444,1374.3831489151903
2022-04-17,28.4,53.9,Summer,26.5,4602.604347827166,3221.823043479016,1380.78130434815
2022-04-18,28.3,55.6,Summer,26.1,4712.835439154146,3298.9848074079023,1413.850631746244
2022-04-19,28.6,59.0,Summer,25.0,4481.837671745087,3137.286370221561,1344.5513015235265
2022-04-20,29.6,55.2,Summer,23.3,4644.64042802726,3251.248299619082,1393.3921284081782
2022-04-21,29.4,46.2,Summer,23.0,4768.623011837026,3338.036108285918,1430.586903551108
2022-04-22,30.1,40.0,Summer,23.1,4716.824140605939,3301.776898424157,1415.047242181782
2022-04-23,29.4,55.9,Summer,21.3,4705.29489013057,3293.706423091399,1411.5884670391713
2022-04-24,28.7,60.5,Summer,21.9,4730.201836869478,3311.1412858086346,1419.0605510608436
2022-04-25,29.8,53.3,Summer,24.3,4774.289352361226,3342.0025466528577,1432.286805708368
2022-04-26,30.2,47.6,Summer,25.3,4663.321913007652,3264.3253391053563,1398.996573902296
2022-04-27,31.0,45.1,Summer,24.3,4816.457149116514,3371.52000438156,1444.9371447349545
2022-04-28,30.9,47.5,Summer,23.9,4572.860271602453,3201.0021901217174,1371.8580814807362
2022-04-29,30.2,58.9,Summer,25.3,4693.881439882766,3285.7170079179364,1408.16443196483
2022-04-30,29.6,49.2,Summer,27.4,4616.568429369284,3231.5979005584986,1384.9705288107857
2022-05-01,28.7,52.4,Summer,27.1,4704.204002826697,3292.942801978688,1411.2612008480094
2022-05-02,28.5,62.9,Summer,26.2,4627.928564585164,3239.5499952096147,1388.3785693755494
2022-05-03,28.3,63.5,Summer,26.5,4442.263700907425,3109.5845906351974,1332.6791102722275
2022-05-04,29.1,57.9,Summer,27.3,4590.715118519349,3213.500582963544,1377.2145355558048
2022-05-05,29.2,56.9,Summer,27.0,4580.085091315354,3206.059563920747,1374.0255273946063
2022-05-06,29.1,53.0,Summer,27.5,4839.353120968585,3387.5471846780097,1451.8059362905758
2022-05-07,29.4,56.0,Summer,27.0,4773.277549838245,3341.2942848867715,1431.9832649514738
2022-05-08,30.0,54.6,Summer,22.4,4650.793413561984,3255.5553894933887,1395.2380240685957
2022-05-09,29.3,59.9,Summer,22.2,4465.439465173838,3125.807625621686,1339.6318395521514
2022-05-10,28.7,65.9,Summer,22.7,4598.542577570973,3218.979804299681,1379.562773271292
2022-05-11,28.1,67.9,Summer,21.7,4784.694202797004,3349.285941957902,1435.408260839101
2022-05-12,27.2,73.1,Summer,14.5,4565.368995951692,3195.7582971661845,1369.6106987855078
2022-05-13,27.6,69.0,Summer,20.7,4725.00053709762,3307.5003759683336,1417.5001611292862
2022-05-14,28.0,63.3,Summer,24.1,4655.415742764775,3258.7910199353423,1396.6247228294328
2022-05-15,28.4,67.3,Summer,24.4,4812.821684383232,3368.9751790682626,1443.84650531497
2022-05-16,29.8,61.4,Summer,26.7,4689.995044436874,3282.996531105812,1406.9985133310624
2022-05-17,29.1,60.4,Summer,25.2,4463.697973206608,3124.588581244626,1339.1093919619827
2022-05-18,28.6,60.3,Summer,24.8,4550.523705369762,3185.366593758833,1365.1571116109287
2022-05-19,28.3,65.9,Summer,19.1,4529.017187915226,3170.3120315406577,1358.705156374568
2022-05-20,26.5,71.1,Summer,14.5,4545.275964097685,3181.693174868379,1363.5827892293055
2022-05-21,27.2,65.4,Summer,24.6,4715.83505639957,3301.084539479699,1414.7505169198712
2022-05-22,27.7,65.1,Summer,25.2,4783.666181433902,3348.566327003731,1435.0998544301708
2022-05-23,27.9,66.5,Summer,22.9,4610.838773093382,3227.587141165367,1383.2516319280148
2022-05-24,28.2,67.1,Summer,22.0,4613.272091124256,3229.2904637869788,1383.981627337277
2022-05-25,28.1,65.6,Summer,25.4,4818.668575983164,3373.0680031882143,1445.6005727949494
2022-05-26,27.7,67.3,Summer,22.9,4700.125908388953,3290.088135872267,1410.037772516686
2022-05-27,27.6,64.6,Summer,22.9,4790.616364934287,3353.431455454001,1437.1849094802865
2022-05-28,27.4,65.3,Summer,22.7,4831.73866320182,3382.2170642412734,1449.521598960546
2022-05-29,27.4,66.6,Summer,21.4,4487.930592197351,3141.5514145381453,1346.3791776592054
2022-05-30,27.6,66.6,Summer,23.4,4527.576778846945,3169.303745192861,1358.2730336540835
2022-05-31,28.0,66.4,Summer,23.5,4527.613070494436,3169.329149346105,1358.283921148331
2022-06-01,27.5,66.7,Monsoon,18.7,3445.236847826543,2411.66579347858,1033.5710543479631
2022-06-02,28.3,63.7,Monsoon,21.0,3454.8680086374893,2418.4076060462426,1036.460402591247
2022-06-03,28.2,64.6,Monsoon,24.9,3578.878486525487,2505.2149405678406,1073.6635459576462
2022-06-04,28.7,63.2,Monsoon,25.6,3530.350685876564,2471.2454801135946,1059.1052057629693
2022-06-05,28.6,65.3,Monsoon,23.8,3647.924679947508,2553.5472759632557,1094.3774039842524
2022-06-06,27.9,66.1,Monsoon,19.4,3635.605238714386,2544.92366710007,1090.681571614316
2022-06-07,27.5,68.4,Monsoon,13.9,3674.617987491061,2572.2325912437427,1102.3853962473186
2022-06-08,28.1,71.2,Monsoon,19.3,3691.3473559360327,2583.9431491552227,1107.40420678081
2022-06-09,26.6,75.7,Monsoon,17.6,3422.5534842254906,2395.7874389578437,1026.766045267647
2022-06-10,26.5,77.9,Monsoon,20.7,3575.940103962625,2503.158072773838,1072.782031188788
2022-06-11,25.4,82.8,Monsoon,9.8,3441.642513226156,2409.149759258309,1032.492753967847
2022-06-12,25.8,78.0,Monsoon,7.7,3586.2705131355224,2510.3893591948654,1075.881153940657
2022-06-13,27.1,71.5,Monsoon,17.8,3549.413169296366,2484.5892185074563,1064.82395078891
2022-06-14,26.9,71.2,Monsoon,21.6,3418.555715267512,2392.9890006872583,1025.5667145802538
2022-06-15,27.2,71.0,Monsoon,19.8,3687.129357615632,2580.990550330942,1106.1388072846896
2022-06-16,26.8,74.4,Monsoon,17.8,3398.5007299668177,2378.9505109767724,1019.5502189900454
2022-06-17,26.8,74.1,Monsoon,16.4,3625.938090341861,2538.156663239303,1087.7814271025586
2022-06-18,26.9,72.7,Monsoon,19.1,3537.740710114495,2476.418497080146,1061.3222130343486
2022-06-19,26.0,76.5,Monsoon,13.5,3596.53249160525,2517.572744123675,1078.9597474815753
2022-06-20,24.2,86.1,Monsoon,5.8,3622.2816889684736,2535.597182277932,1086.6845066905423
2022-06-21,24.6,82.5,Monsoon,11.0,3447.734775719329,2413.41434300353,1034.3204327157987
2022-06-22,24.8,82.0,Monsoon,9.9,3593.3982087134177,2515.378746099392,1078.0194626140255
2022-06-23,24.8,84.9,Monsoon,11.7,3408.8002649347554,2386.1601854543287,1022.6400794804268
2022-06-24,25.0,83.2,Monsoon,8.9,3494.317887696365,2446.0225213874555,1048.2953663089097
2022-06-25,24.9,82.5,Monsoon,9.1,3653.4843413707176,2557.4390389595023,1096.0453024112155
2022-06-26,24.9,83.3,Monsoon,8.7,3526.8536600229468,2468.797562016063,1058.0560980068842
2022-06-27,24.2,87.1,Monsoon,9.1,3496.6763272473013,2447.6734290731106,1049.0028981741905
2022-06-28,24.4,87.5,Monsoon,12.7,3576.77831286999,2503.7448190089926,1073.0334938609972
2022-06-29,25.4,81.3,Monsoon,15.3,3430.460329779097,2401.322230845368,1029.1380989337292
2022-06-30,24.8,83.4,Monsoon,12.5,3602.764280760573,2521.934996532401,1080.829284228172
2022-07-01,24.0,89.6,Monsoon,7.9,3676.410814416425,2573.4875700914977,1102.9232443249275
2022-07-02,24.4,88.1,Monsoon,13.3,3582.2908769419973,2507.603613859398,1074.6872630825994
2022-07-03,25.0,85.5,Monsoon,15.0,3494.659678121808,2446.261774685265,1048.3979034365425
2022-07-04,23.9,90.9,Monsoon,11.1,3646.159957893984,2552.311970525788,1093.8479873681952
2022-07-05,23.6,90.5,Monsoon,4.7,3519.774348639262,2463.842044047484,1055.9323045917788
2022-07-06,23.3,94.0,Monsoon,7.4,3641.5248220452377,2549.0673754316663,1092.4574466135714
2022-07-07,23.0,94.6,Monsoon,3.9,3653.03848817706,2557.126941723942,1095.9115464531185
2022-07-08,23.2,93.3,Monsoon,4.2,3686.1270580488417,2580.288940634189,1105.8381174146527
2022-07-09,22.9,94.8,Monsoon,2.6,3642.329618757716,2549.630733130401,1092.698885627315
2022-07-10,23.0,93.0,Monsoon,4.3,3516.4129535647376,2461.489067495316,1054.923886069421
2022-07-11,22.5,95.3,Monsoon,2.9,3674.753444995121,2572.3274114965843,1102.4260334985363
2022-07-12,22.3,95.3,Monsoon,2.8,3583.5679107235687,2508.497537506498,1075.0703732170707
2022-07-13,22.2,95.8,Monsoon,2.4,3629.582378892622,2540.707665224835,1088.8747136677866
2022-07-14,22.6,93.9,Monsoon,4.6,3524.7560167872607,2467.3292117510823,1057.4268050361784
2022-07-15,22.9,93.6,Monsoon,5.4,3546.7269033044017,2482.708832313081,1064.0180709913209
2022-07-16,23.6,91.0,Monsoon,10.6,3616.610232676676,2531.627162873673,1084.983069803003
2022-07-17,24.2,89.3,Monsoon,14.7,3472.638765441628,2430.84713580914,1041.7916296324886
2022-07-18,23.1,92.1,Monsoon,5.6,3656.207346406183,2559.345142484328,1096.862203921855
2022-07-19,23.6,90.4,Monsoon,10.7,3600.942200772582,2520.6595405408075,1080.2826602317748
2022-07-20,23.9,87.9,Monsoon,13.8,3524.587505976122,2467.2112541832853,1057.376251792837
2022-07-21,24.0,87.4,Monsoon,15.0,3471.002495659807,2429.701746961865,1041.3007486979425
2022-07-22,24.2,84.8,Monsoon,14.9,3477.884362627733,2434.5190538394127,1043.36530878832
2022-07-23,23.4,89.5,Monsoon,9.8,3422.3654006585534,2395.6557804609874,1026.7096201975662
2022-07-24,22.9,92.1,Monsoon,4.4,3496.596538354137,2447.617576847896,1048.9789615062414
2022-07-25,23.7,87.8,Monsoon,10.6,3388.2188523041923,2371.7531966129345,1016.465655691258
2022-07-26,23.6,87.7,Monsoon,9.2,3458.273093189266,2420.791165232486,1037.48192795678
2022-07-27,23.9,88.6,Monsoon,11.5,3433.949749204268,2403.7648244429874,1030.1849247612804
2022-07-28,25.3,84.4,Monsoon,16.1,3497.3017316831133,2448.11121217818,1049.1905195049342
2022-07-29,25.3,87.4,Monsoon,15.4,3530.574613417713,2471.402229392399,1059.172384025314
2022-07-30,25.4,83.3,Monsoon,14.0,3578.3403284056217,2504.838229883935,1073.5020985216863
2022-07-31,25.3,82.4,Monsoon,17.5,3407.36436092953,2385.1550526506708,1022.2093082788592
2022-08-01,25.2,81.6,Monsoon,16.7,3430.098347646149,2401.068843352304,1029.0295042938449
2022-08-02,25.2,82.3,Monsoon,17.6,3653.741632858089,2557.619143000662,1096.122489857427
2022-08-03,25.3,84.2,Monsoon,14.7,3678.516811775214,2574.9617682426497,1103.5550435325645
2022-08-04,25.0,87.5,Monsoon,11.9,3398.34491994234,2378.8414439596377,1019.503475982702
2022-08-05,23.8,93.4,Monsoon,3.6,3430.1013383569407,2401.0709368498583,1029.0304015070824
2022-08-06,24.0,88.4,Monsoon,11.9,3593.8500232640818,2515.695016284857,1078.1550069792247
2022-08-07,23.6,91.8,Monsoon,10.0,3587.0330128177065,2510.9231089723944,1076.109903845312
2022-08-08,23.0,95.4,Monsoon,5.5,3439.03371961675,2407.323603731725,1031.7101158850253
2022-08-09,22.5,94.6,Monsoon,7.3,3682.274444592053,2577.5921112144365,1104.682333377616
2022-08-10,22.9,92.1,Monsoon,10.9,3475.9307678063137,2433.15153746442,1042.7792303418942
2022-08-11,23.2,91.5,Monsoon,7.8,3447.6102054699254,2413.327143828948,1034.2830616409778
2022-08-12,23.2,90.4,Monsoon,14.4,3544.9766295035643,2481.4836406524946,1063.4929888510694
2022-08-13,23.2,91.4,Monsoon,11.8,3654.5428576401223,2558.1800003480857,1096.362857292037
2022-08-14,23.3,90.2,Monsoon,13.4,3628.999941828927,2540.299959280249,1088.6999825486782
2022-08-15,22.8,93.2,Monsoon,6.6,3584.579617991023,2509.205732593716,1075.373885397307
2022-08-16,22.5,91.9,Monsoon,10.1,3444.7029958053745,2411.292097063762,1033.4108987416123
2022-08-17,23.3,89.6,Monsoon,13.5,3679.155944004409,2575.4091608030863,1103.746783201323
2022-08-18,23.5,89.5,Monsoon,12.9,3675.039493301536,2572.527645311075,1102.5118479904609
2022-08-19,23.5,90.6,Monsoon,12.9,3681.439532917128,2577.0076730419896,1104.4318598751386
2022-08-20,23.4,90.6,Monsoon,12.5,3666.7510693292375,2566.7257485304663,1100.0253207987714
2022-08-21,23.6,87.8,Monsoon,13.8,3406.720533885588,2384.7043737199115,1022.0161601656764
2022-08-22,23.4,89.5,Monsoon,16.0,3532.5291998158737,2472.770439871111,1059.7587599447622
2022-08-23,23.6,90.0,Monsoon,12.2,3532.0960430087853,2472.4672301061496,1059.6288129026357
2022-08-24,23.8,88.9,Monsoon,12.3,3524.8838177458847,2467.418672422119,1057.4651453237657
2022-08-25,24.1,85.4,Monsoon,15.2,3515.668781866299,2460.9681473064093,1054.7006345598895
2022-08-26,24.5,80.5,Monsoon,16.9,3393.241946773236,2375.269362741265,1017.9725840319708
2022-08-27,24.2,81.2,Monsoon,17.0,3473.967137826195,2431.7769964783365,1042.1901413478586
2022-08-28,24.2,80.0,Monsoon,16.1,3550.340630110601,2485.2384410774207,1065.1021890331804
2022-08-29,24.7,79.8,Monsoon,17.3,3511.0345422973096,2457.7241796081166,1053.310362689193
2022-08-30,25.4,82.4,Monsoon,16.6,3450.4903425700213,2415.3432397990146,1035.1471027710063
2022-08-31,25.1,86.5,Monsoon,17.5,3576.980252370184,2503.8861766591285,1073.0940757110552
2022-09-01,24.9,83.7,Autumn,14.8,3918.917278635654,3040.910207072586,1289.2678250814415
2022-09-02,26.1,82.2,Autumn,18.9,4766.823578688509,2362.631111375319,1208.3032628809794
2022-09-03,26.2,82.7,Autumn,18.3,4444.951514482577,2523.0702454787192,1139.7695491580942
2022-09-04,25.3,86.2,Autumn,11.7,4248.733119122096,2922.6842493371996,1155.42183558775
2022-09-05,25.0,85.3,Autumn,11.7,3597.3378982398867,3070.1591343027408,1307.2279578403513
2022-09-06,24.7,87.6,Autumn,13.7,3597.302402741346,3029.0219800258715,1342.483164943474
2022-09-07,24.3,90.2,Autumn,15.2,3453.215288685177,2588.443601602391,1359.7913446778402
2022-09-08,24.8,88.1,Autumn,13.8,4642.415994064635,3091.054318906696,1358.9256375934299
2022-09-09,24.9,88.8,Autumn,10.9,4252.34818072606,2601.8144624730276,1050.587648153913
2022-09-10,25.2,87.5,Autumn,9.8,4409.748487876532,2692.6210654471824,1228.600410214344
2022-09-11,24.9,88.2,Autumn,13.6,3398.031042363871,3126.400334384154,1035.7328725915418
2022-09-12,24.5,90.2,Autumn,11.0,4795.072022522819,3026.623465689283,1252.9299851036333
2022-09-13,23.6,94.3,Autumn,8.3,4592.773278357852,3232.2276718787434,1205.250389463968
2022-09-14,23.2,92.1,Autumn,13.0,3680.2199199717666,3034.8438974438395,1402.2290897583016
2022-09-15,23.6,88.9,Autumn,11.9,3635.314863396115,2942.8488556514058,1165.2450687575767
2022-09-16,22.6,95.7,Autumn,8.4,3637.639341288285,2453.914225078623,1062.004836837009
2022-09-17,23.3,91.1,Autumn,13.3,3815.4659038044115,2736.212161506578,1073.4501711394987
2022-09-18,23.0,88.2,Autumn,11.8,4139.977785562959,2630.609979560223,1346.5166111728518
2022-09-19,22.6,87.6,Autumn,13.9,4003.39516265157,2608.7581124061103,1283.2551839235007
2022-09-20,22.0,91.1,Autumn,3.8,3796.315632839679,3359.744543032433,1054.9656600291246
2022-09-21,22.3,88.9,Autumn,4.9,4268.150205224564,2762.358844561821,1047.453419620617
2022-09-22,22.7,85.3,Autumn,6.8,3573.019792372396,3276.341084912464,1319.7884859330507
2022-09-23,22.7,83.9,Autumn,9.4,3797.662908201192,3007.571957168564,1042.4453094954822
2022-09-24,23.2,85.5,Autumn,12.7,3906.8820095881792,3176.176119247477,1373.1599393268448
2022-09-25,23.9,84.4,Autumn,16.0,4038.897812268813,2875.198652080743,1322.1164751899983
2022-09-26,23.3,86.2,Autumn,13.2,4523.214946663638,2951.7031141728967,1046.2357945213885
2022-09-27,23.6,85.1,Autumn,16.8,3661.5814386303746,2864.774353639419,1047.7761040549763
2022-09-28,23.9,84.8,Autumn,11.5,4124.493467570636,2558.5427121224457,1445.9075192121545
2022-09-29,24.2,90.2,Autumn,13.0,4239.544482657948,3101.6367367938883,1175.5562816592615
2022-09-30,24.2,87.6,Autumn,16.7,3436.095703471494,2646.6491008071052,1173.954290030328
2022-10-01,24.6,85.6,Autumn,12.8,4261.810426859576,2382.465631655896,1369.1598738386276
2022-10-02,24.5,83.7,Autumn,16.3,3618.6843779922247,3022.3375028963774,1428.5170084601596
2022-10-03,24.6,79.8,Autumn,18.7,3463.469470425674,2539.8640743150377,1445.6256249707442
2022-10-04,24.1,83.3,Autumn,17.5,4764.132335445265,3326.2117764425893,1342.9262632871532
2022-10-05,24.3,86.7,Autumn,17.1,4788.776721842886,3340.087622173111,1176.4343012317784
2022-10-06,24.0,86.5,Autumn,12.7,4557.387876523738,3299.8464250563193,1047.1858406251013
2022-10-07,23.0,90.9,Autumn,5.2,3816.0126471749822,2738.728663594513,1353.419786034155
2022-10-08,23.2,86.8,Autumn,10.4,3511.4743027868913,2373.3393480922605,1256.8483209679036
